Numero,Ano,Data,Situacao,Autores,Ementa,Titulo
063,2026,20/08/2026,Em tramitação,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Saúde, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre a atual situação do micro-ônibus na cor cinza, com capacidade para 20 (vinte) lugares, pertencente à frota municipal.  O...",Requerimento nº 063/2026
062,2026,17/08/2026,Em tramitação,Edvaldo Aparecido Carvalho (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Planejamento, Obras, Serviços e Manutenção, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre o andamento do projeto de revitalização da Praça Álvaro de Oliveira Junqueira. ...",Requerimento nº 062/2026
061,2026,17/08/2026,Em tramitação,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Secretaria da Educação do Estado de São Paulo (SEDUC/SP), no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações e cópias dos estudos técnicos que fundamentaram a decisão de realização de novo concurso...",Requerimento nº 061/2026
060,2026,04/08/2026,Aprovado,Reinaldo Codognato (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Planejamento, Obras, Serviços e Manutenção, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações e providências sobre a previsão de manutenção e instalação de iluminação pública em pontos...",Requerimento nº 060/2026
059,2026,03/08/2026,Aprovado,"Teresinha de Lourdes Freitas Regodanso (Autor), Adriano de Marcos Lopes (Autor)","REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Gerência da Agência do Banco Santander em Junqueirópolis, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, esclarecimentos sobre a constante indisponibilidade do sistema de atendimento presencial. O pedido...",Requerimento nº 059/2026
058,2026,03/08/2026,Aprovado,Renato Vieira de Brito (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Educação, Cultura, Esporte, Lazer e Turismo, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações e esclarecimentos sobre os motivos pelos quais o Município de Junqueirópolis não participou...",Requerimento nº 058/2026
057,2026,03/08/2026,Aprovado,"Renato Vieira de Brito (Autor), Edvaldo Aparecido Carvalho (Autor), Samir Edson Tino (Autor)","REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria Administrativa, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações e cópias de documentos referentes ao Edital de Pregão Eletrônico nº 045/2026 e à Ata de Registro de Preços nº 024/2026, que...",Requerimento nº 057/2026
056,2026,03/08/2026,Aprovado,"Renato Vieira de Brito (Autor), Edvaldo Aparecido Carvalho (Autor), Samir Edson Tino (Autor)","REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria Administrativa, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações e cópias de documentos referentes ao Edital nº 053/2024 e à Ata de Registro de Preços nº 037/2024, que trata da contratação da...",Requerimento nº 056/2026
055,2026,30/07/2026,Aprovado,Reinaldo Codognato (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Saúde, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações e esclarecimentos sobre a viabilidade de desenvolvimento de estudos e ações voltadas à proteção e ao acolhimento de cães e gatos em...",Requerimento nº 055/2026
054,2026,29/07/2026,Aprovado,"Adriano de Marcos Lopes (Autor), Teresinha de Lourdes Freitas Regodanso (Autor)","REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Assistência e Desenvolvimento Social, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações sobre a adesão do Município de Junqueirópolis ao Programa EquipaDH  do Ministério dos Direitos...",Requerimento nº 054/2026
053,2026,28/07/2026,Aprovado,"Reinaldo Codognato (Autor), Bruno Herreira (Autor)","REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à Diretoria de Planejamento, Obras, Serviços e Manutenção, no sentido de fornecer a esta Casa de Leis, dentro do prazo legal, informações e documentos sobre as antenas instaladas na caixa d&#039;água do bairro Vila Santa Ruth. ...",Requerimento nº 053/2026
052,2026,26/07/2026,Aprovado,Anderson Marcos Viana (Autor),"REQUEIRO À MESA, após ouvido o Douto Plenário e obedecidas as formalidades regimentais, o envio de ofício à concessionária Elektro Redes S.A., solicitando providências e informações sobre a realização de estudos para a colocação de um poste de iluminação pública na Rua Santa Terezinha, no trecho localizado entre a Rua São Luiz e a Rua...",Requerimento nº 052/2026
